epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7046499848365784,0.7703437805175781,0.0010000000474974513,0.6466891169548035,0.7106102705001831,0.690500020980835,0.8002499938011169,0.8746945858001709,0.4871899485588074,0.7980148792266846,0.8040000200271606
1,0.7535499930381775,0.8303343653678894,0.0010000000474974513,0.544067919254303,0.760131299495697,0.7408999800682068,0.8004999756813049,0.88127201795578,0.48100459575653076,0.8023138642311096,0.7975000143051147
2,0.7605500221252441,0.8410935997962952,0.0010000000474974513,0.5306792855262756,0.7681935429573059,0.7462999820709229,0.8040000200271606,0.8846707344055176,0.4763784408569336,0.8223754167556763,0.7754999995231628
3,0.7717000246047974,0.8526760339736938,0.0010000000474974513,0.5170304179191589,0.7765675783157349,0.7628999948501587,0.8152499794960022,0.8935549259185791,0.4644952118396759,0.8071115612983704,0.828499972820282
4,0.7782999873161316,0.8595797419548035,0.0010000000474974513,0.5102406740188599,0.7803747653961182,0.7746000289916992,0.8115000128746033,0.8969489932060242,0.4649540185928345,0.7897674441337585,0.8489999771118164
5,0.7823500037193298,0.8611176609992981,0.0010000000474974513,0.5120076537132263,0.7845409512519836,0.7785000205039978,0.8184999823570251,0.9033830165863037,0.45378854870796204,0.8259979486465454,0.8069999814033508
6,0.7886000275611877,0.8678905963897705,0.0010000000474974513,0.5057158470153809,0.7915740609169006,0.7835000157356262,0.8257499933242798,0.9040337204933167,0.4544185698032379,0.8387935757637024,0.8065000176429749
7,0.7888500094413757,0.8721434473991394,0.0010000000474974513,0.5020113587379456,0.7907983660697937,0.7854999899864197,0.8220000267028809,0.9051806926727295,0.45271357893943787,0.8220000267028809,0.8220000267028809
8,0.7943000197410583,0.8766006827354431,0.0010000000474974513,0.4986642003059387,0.7956006526947021,0.7921000123023987,0.8270000219345093,0.9082214832305908,0.4537273347377777,0.8306369781494141,0.8215000033378601
9,0.801800012588501,0.8823671340942383,0.0010000000474974513,0.4936610758304596,0.8030120730400085,0.7997999787330627,0.8295000195503235,0.9115638732910156,0.45097750425338745,0.837256908416748,0.8180000185966492
10,0.7939500212669373,0.8773494958877563,0.0010000000474974513,0.5039466619491577,0.7955162525177002,0.7912999987602234,0.8245000243186951,0.9090211391448975,0.46383070945739746,0.8081671595573425,0.8510000109672546
11,0.8027499914169312,0.8831284642219543,0.0010000000474974513,0.49572324752807617,0.8067686557769775,0.7961999773979187,0.8240000009536743,0.9064463973045349,0.4663439989089966,0.8036550879478455,0.8575000166893005
12,0.8086000084877014,0.8870529532432556,0.0010000000474974513,0.4936443865299225,0.8084766268730164,0.8087999820709229,0.828249990940094,0.9109140634536743,0.4553421139717102,0.8219715356826782,0.8379999995231628
13,0.8162000179290771,0.89640212059021,0.0005000000237487257,0.4781721234321594,0.8158209919929504,0.8167999982833862,0.8367499709129333,0.9173402190208435,0.44402188062667847,0.8495070338249207,0.8184999823570251
14,0.8202999830245972,0.9001839756965637,0.0005000000237487257,0.4708804786205292,0.8202359676361084,0.8203999996185303,0.8389999866485596,0.9193490743637085,0.4386823773384094,0.82722008228302,0.8569999933242798
15,0.8247500061988831,0.9038500189781189,0.0005000000237487257,0.46342143416404724,0.822909414768219,0.8276000022888184,0.8422499895095825,0.9213022589683533,0.4350855350494385,0.8301977515220642,0.8604999780654907
16,0.8220000267028809,0.9010564088821411,0.0005000000237487257,0.4682096242904663,0.8214214444160461,0.8228999972343445,0.8362500071525574,0.9181827306747437,0.44150081276893616,0.8384498953819275,0.8330000042915344
17,0.8253999948501587,0.9057128429412842,0.0005000000237487257,0.45955049991607666,0.8255302309989929,0.8252000212669373,0.8385000228881836,0.9217875599861145,0.432772696018219,0.8415741920471191,0.8339999914169312
18,0.8245499730110168,0.9058583378791809,0.0005000000237487257,0.4586995542049408,0.825232982635498,0.8234999775886536,0.8417500257492065,0.9185211658477783,0.4372679889202118,0.8415791988372803,0.8420000076293945
19,0.8259999752044678,0.9071411490440369,0.0005000000237487257,0.4561000466346741,0.8273749947547913,0.8238999843597412,0.8414999842643738,0.9223365187644958,0.431071013212204,0.8286814093589783,0.8610000014305115
