epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.843500018119812,0.9213867783546448,9.999999747378752e-06,0.430467426776886,0.8432940244674683,0.8438000082969666,0.856249988079071,0.9356905221939087,0.3995911180973053,0.8423834443092346,0.8765000104904175
1,0.8541499972343445,0.9318618774414062,9.999999747378752e-06,0.4075305759906769,0.854895293712616,0.8531000018119812,0.8429999947547913,0.9430406093597412,0.4296506345272064,0.7818405628204346,0.9514999985694885
2,0.8725500106811523,0.9442750215530396,9.999999747378752e-06,0.3798123300075531,0.8731844425201416,0.8716999888420105,0.8292499780654907,0.9474315047264099,0.4675040543079376,0.7569254636764526,0.9700000286102295
3,0.878849983215332,0.9482946395874023,9.999999747378752e-06,0.37028780579566956,0.8787363767623901,0.8790000081062317,0.8510000109672546,0.9409363865852356,0.41521766781806946,0.8015463948249817,0.9330000281333923
4,0.8838000297546387,0.9534661173820496,4.999999873689376e-06,0.3567575216293335,0.8821947574615479,0.8859000205993652,0.8872500061988831,0.9600796699523926,0.34608596563339233,0.8604001998901367,0.9244999885559082
5,0.885450005531311,0.9565016031265259,4.999999873689376e-06,0.34906256198883057,0.8866485953330994,0.883899986743927,0.8734999895095825,0.961803674697876,0.37000080943107605,0.8197773694992065,0.9574999809265137
6,0.8931000232696533,0.9605841636657715,4.999999873689376e-06,0.3376196324825287,0.8937299847602844,0.892300009727478,0.8962500095367432,0.9640704989433289,0.32743120193481445,0.9057859778404236,0.8845000267028809
7,0.8974000215530396,0.9626151919364929,4.999999873689376e-06,0.33222177624702454,0.8962903618812561,0.8988000154495239,0.9014999866485596,0.9650095701217651,0.3269493579864502,0.8882978558540344,0.9185000061988831
8,0.8974000215530396,0.9632530212402344,4.999999873689376e-06,0.33007487654685974,0.8973205089569092,0.8974999785423279,0.903249979019165,0.9671382308006287,0.32495883107185364,0.8773981928825378,0.9375
9,0.902899980545044,0.9662315845489502,4.999999873689376e-06,0.3213249146938324,0.9021760821342468,0.9038000106811523,0.8942499756813049,0.9659498333930969,0.3405129909515381,0.85502028465271,0.9495000243186951
10,0.902649998664856,0.9666670560836792,4.999999873689376e-06,0.3197200894355774,0.9018864035606384,0.9035999774932861,0.8507500290870667,0.9655793905258179,0.41863730549812317,0.7804877758026123,0.9760000109672546
11,0.9055500030517578,0.9680802822113037,4.999999873689376e-06,0.31562167406082153,0.9056717157363892,0.9053999781608582,0.9087499976158142,0.9700729846954346,0.315325528383255,0.8832629919052124,0.9419999718666077
12,0.9096500277519226,0.971701443195343,4.999999873689376e-06,0.3043326139450073,0.9088731408119202,0.9106000065803528,0.8912500143051147,0.969271719455719,0.3434062898159027,0.8442586660385132,0.9595000147819519
13,0.912850022315979,0.9724262952804565,4.999999873689376e-06,0.3014337420463562,0.9137188196182251,0.9118000268936157,0.9004999995231628,0.9698505997657776,0.3258710205554962,0.86277174949646,0.9524999856948853
14,0.9168000221252441,0.973665177822113,4.999999873689376e-06,0.2969556748867035,0.9139026999473572,0.9203000068664551,0.9137499928474426,0.9724860191345215,0.3024183213710785,0.8980278968811035,0.9334999918937683
